,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,DATE,DAILY_YIELD
0,28.564478195329666,38.61684165677657,0.35868634965505153,2020-05-16,6292.0
1,29.494486331593407,42.02868699734433,0.4409880415197766,2020-05-17,7045.0
2,25.14405622564103,33.57360166694139,0.2935862516426643,2020-05-18,4998.0
3,27.403738549416914,37.733532126554906,0.3682624794537422,2020-05-19,6449.0
4,29.383560797255026,45.3354274795061,0.5353675078003755,2020-05-21,7243.0
5,28.48899484016173,40.469185906468994,0.41734193406100667,2020-05-22,6848.0
6,29.362050044752184,45.2787840813897,0.5327888079030094,2020-05-23,7966.0
7,29.77591632246181,42.970462607457314,0.4705128346086936,2020-05-24,7537.0
8,29.75759639342041,44.27708854611927,0.5138370865080109,2020-05-25,8268.0
9,29.43870079514824,43.09189151608267,0.4575582788759599,2020-05-26,0.0
10,29.34052075396825,40.68582583292181,0.38032530094032735,2020-05-27,6164.0
11,28.05908833514286,44.41899472519048,0.4959132248282057,2020-05-29,7564.0
12,26.766419354304034,38.80223721904761,0.42067411862465415,2020-05-30,6754.0
13,26.96867871804029,37.23067778296702,0.33895111748448986,2020-05-31,5803.0
14,26.53805245722739,36.08461742218231,0.3394085453393864,2020-06-01,5508.0
15,25.868719653728657,36.706711160736745,0.4053518750245385,2020-06-02,7029.0
16,26.260068479853487,37.29405107216118,0.4216867084861565,2020-06-03,7341.0
17,27.166873286813182,40.150425865201456,0.4744418160667904,2020-06-04,7571.0
18,26.602369914914647,39.037956016891286,0.43759734320472143,2020-06-05,7162.0
19,26.105285082600737,36.31472878983517,0.3755168842980329,2020-06-06,5940.0
20,26.750387714106026,39.85482460098832,0.4604221293001194,2020-06-07,5268.0
21,27.37878858492639,40.18034011169398,0.4776514474694416,2020-06-08,7864.0
22,27.871142988679253,40.50019721617252,0.4670693079321634,2020-06-09,7456.0
23,26.572746956959712,36.164621774450566,0.36985176897641736,2020-06-10,5911.0
24,25.822457678754574,33.455246091666666,0.2987251085254719,2020-06-11,5257.0
25,25.42447148077268,33.1533057211141,0.3075764350852201,2020-06-12,5441.0
26,26.36242213378257,38.731893957681926,0.4790444257828957,2020-06-13,7984.0
27,25.502800107277636,35.75254810296494,0.3986456853204744,2020-06-14,4012.0
28,26.471948133862433,36.39943160361551,0.3660889946185535,2020-06-15,6275.0
29,26.451856226415075,36.058201727762814,0.3392287826957191,2020-06-16,5848.0
30,25.5512210287834,34.16393440621942,0.3267021648506515,2020-06-17,5521.0
