Key,University Name,Building Name,Square Feet,Type
257,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
216,"University of California, Berkeley",Energy Biosciences Building,124175,Laboratory
275,"University of California, Berkeley",Lawrence Hall of Science,131464,Classroom
249,"University of California, Berkeley",Davis Hall,140090,Laboratory
233,"University of California, Berkeley",Bechtel Engineering Center,49490,Laboratory
199,"University of California, Berkeley",Jacobs Hall,24000,Classroom
238,"University of California, Berkeley",Sutardja Dai Hall,141000,Laboratory
176,"University of California, Berkeley",Soda Hall,110565,Laboratory
287,"University of California, Berkeley",Morgan Hall,57714,Laboratory
282,"University of California, Berkeley",McCone Hall,125731,Laboratory
180,"University of California, Berkeley",Tan Hall,118376,Laboratory
245,"University of California, Berkeley",Birge Hall,97032,Laboratory
277,"University of California, Berkeley",Le Conte hall,69730,Laboratory
290,"University of California, Berkeley",N.A.F,52845,Laboratory
222,"University of California, Berkeley",Hildebrand Hall,135129,Laboratory
283,"University of California, Berkeley",Anna Head Complex,35000,Classroom
243,"University of California, Berkeley",Barrows Hall,198294,Classroom
224,"University of California, Berkeley",Barker Hall,88161,Laboratory
239,"University of California, Berkeley",Calvin Laboratory,37907,Laboratory
194,"University of California, Berkeley",Campbell Hall,81600,Laboratory
191,"University of California, Berkeley",Eshleman Hall,64800,Classroom
259,"University of California, Berkeley",Gardner Stacks,189425,Classroom
265,"University of California, Berkeley",Haas School of Business,238270,Classroom
267,"University of California, Berkeley",Haviland Hall,51200,Classroom
270,"University of California, Berkeley",Hilgard Hall,77507,Laboratory
279,"University of California, Berkeley",Lewis Hall,68146,Laboratory
193,"University of California, Berkeley",McLaughlin Hall,49388,Classroom
186,"University of California, Berkeley",Moses Hall,40895,Classroom
288,"University of California, Berkeley",Mulford Hall,93484,Laboratory
178,"University of California, Berkeley",Stephens Hall,59548,Classroom
